,h,hw,ps,df,il,gc,crm,sc,sf,af,id,lw,sd,sb
,a,ahir,n,*conclusion,,,,,,,,,,
,a,ahirnya,conj,*finally,,,,probably from Indonesian,,,,,,
,a,aht,n,*Sunday,,,,,,,,,,
,a,ai,excl,*hey; exclamation of surprise or admonition,ai kam ke inga-ingat bahasanta tu i: | Hey; all of you should always be mindful of that,,,,,,,,,
,a,air goraka,n,a *beverage of ginger and palm sugar,,,,this term is considered TM,,,,,,
,a,ajar,v,to *teach s.o. or s.t. ; to *scold s.o.,nyawaku mantak po kuajar si Umar | I was really offended so I told Umar off,,,,,ajari,,,,
,a,ajar,v,to teach s.o.,,,,,,ajari:,,,,
,a,ajar,vi,to scold s.o. intensively,,,,,,ajar akang,,,,
,a,ajar,v,to teach s.t. at s.o.'s request,,,,,,ba:jajarang,,,,
,a,ajar,vi,to * argue with and scold s.o.,,,,,,palajari,,,,
,a,ajar,v,to teach intensively with *training and demonstration; to *instruct <*demonstrate>,Bapaku mupalajari andeket tu basilap | My father instructs that youngster in martial arts,,,,,,,,,
,a,ajarang,n,*horse; [%*Equus~caballus|],,,,,animal,,,,,
,a,ajeri,v,to *rip open a fish gill ; to *kill freshly taken fish,,,,,fishing,,,,,
,a,ajeri:,v,to *berate s.o.; to *excoriate s.o.,,,jejer$2,TM,,,,,,
,a,ajimat,n,*charm; a *token carried to protect the bearer,,,,,,,,,,
,a,akal,n,*mind; *intelligence ; *cunning ; mental *solution; *resolution (of a problem),akal barisi | many ways to solve (a problem),,,,,,,,,
,a,akan,,,,,akang$1,,,,,,,
,a,akang$1,part,*will; *shall; *about~to,a itu akang tida bisa | So; that will be impossible. ; adaing kapala perkebunan akang mubei mangarti | Later the agriculture officer will,future marker,,apparently borrowed from Indonesian,,,,I,,
,a,akang$2,vm,*regarding; with respect to,kau mucamuni akang de ruma habua puang | You should have hidden it in a house for,a postverbal particle marking causation; benefaction or instrumentality,,,,,,,,
,a,akang$3,conj,*however; *nonetheless,a kita balapetak yogo ka da: bakaya akang kani: lapetak ni lambat| So we garden and go inland to collect sago pith; nonetheless it is certain the garden will be late (for harvesting),,,,,,,,,
,a,akar,n,*root,,,,,,,akar kuning,,,
,a,akar,n,*carrot; [%*Daucus~carota|],,,,,food,,,,,
,a,aku$1,pn,*I; *me,aku yogo kutanyai kau habua hadiki | I want to ask you about something; please. ; haiku ini mubei aku doit tolu ratus ka mai | This guy gave me three hundred rupiah,*first~person~singular; emphatic,iku; ; ngku; ; ku; ; ku- ; dangang,informal,,,,,,
,a,aku$2,,,,,,,,akui,,,,
,a,aku$2,v,to *admit s.t.,kuakui laki-laki tu memang jagona| I admit that man surely has prowess,,mangaku,,,,,,,
,a,ak,n,storage *battery; car battery,,,batre/,,,,,,,
,a,ala,v,to *take s.t. ; to *assume s.t. as a starting point for calculations ; to be *absorbent (said of sago bread) <*sop>,nyawana ia ma bei ga tu muala jamingku| Whose heart let him take my watch? (Who ; basalng ala de tanggal kani: ahat tu sak | If you start with the calendar; then it surely ; baku ini ma ala paisu| This sago bread sops up the sauce,,sika,,,ala akang,ala paisu,,,
,a,ala,v,to *take on behalf of s.o.,Muala akang aku tabako. |Get some cigarettes for me.,,,,,baala,,,,
,a,ala,vi,to be engaged in taking <*take> ; to *curry~favor (e.g. of o.'s boss),Baala ga de ini. |Take from here; too. ; baala les| to take dues,,,,,baalala:ng,baala nyawa,,,
,a,ala,vi,to be *intertwine|d; to be *criss-cross|ed; to be tied up in a multitude of knots; etc. ; to *argue with each other,Ada filinggir dua biji baalala:ng. |There are two kites criss-crossed.,,sika,,,,,,,
,a,ala:,excl,*Lord!; exclamation of surprise or disapproval,ala: tauli ka lau majang| Lord! We looked out towards the horizon and it was great!,,ya ala,,,,,,,
,a,ala-alang,,,,,alang-alang ; manuk ala-alang,,,,,,,
,a,alabobo,n,k.o. small *mollusc found in muddy riverbanks,,,,,mollusc,,,,,
,a,alahumadaf,excl,*Good~lord!; exclamation of surprise or shock,,,,,,,,,,
,a,alalungang,n,small waves,,,alualungang,,,,,,,
,a,alam,n,*nature,,,,,,,,,,
,a,alang-alang,n,k.o. *grass; *alang-alang; [%*Imperata~cylindrica|],,,,,,,,,,
,a,alangang,n,inhibitory factor; *problem,kami ini nang alangang po pauli mo balampo jau| We have a difficulty to deal with so,,,,,,,,,
,a,alap,,,,,,,,alap akang,,,,
,a,alap,v,to *invite s.o. (at another's request) to a ritual meal,"Mualap akang langker inycana kamai. |Invite that elder there to 
 come here.",,,,,alap-alap,,,,
,a,alap,n,those invited to a ritual meal; *guest|s,alap-alap di dodak tala kapo ka bolung| Have those invited earlier already arrived or,,,,,baalap-alap,,,,
,a,alap,vi,to extend *invitation|s for a ceremony,,,undang,,,,,,,
,a,alapi:,v,to *take for s.o.,Mualap: aku glas aku yogo kulonggar paisu. |Get me a glass; I want to drink some,,ala,,,,,,,
,a,alat,n,*tool; *equipment ; requisite *equipment,,,,,,baalat,alat pakakas,,,
,a,alat,vi,to be *equipped or characterized by a tool,,,pakakas,,tool,,,,,
