0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
678,bisa,particle,can,,,,,,,,,,,,,,,,,Malay,"pauli, mampo",,
679,bisara,,,,,,,,,,,,,,,,,,,,bicara,,
680,bisik,,,,,,,,,,,,,,,,,,,,,bisiki,
681,bisik,verb,to whisper to someone,,,,,,,,,,,,,,,,,,,bisik akang,
682,bisik,verb,to whisper s.t. at someone's request,,,,,,,,,,,,,,,,,,,babisik,
683,bisik,intransitive verb,to engage in whispering,,,,,,,,,,,,,,,,,,,,
684,boanó,noun,"calabash,, water container (of calabash)",,,,,,,,,,,,,Lagenaria siceraria,,,utensil,,"walu botol, kalabasa",,
685,boar,noun,threshold,,,,,,,,,,,,,,,archaic,,,,,
686,bobak,noun,coconut flesh left in the shell after scraping,,,,,,,,,,,,,,,,,,,,
687,bobar,verb,"to strike with a rod, to beat, to pummel",ibobar sigodo nalipa-lipat de itu ka bawa,They would beat us till we were bent down,,,,,,,,,,,,,,,,,babobarang,
688,bobar,intransitive verb,"to engage in a fight, to fight each other",,,,,,,,,,,,,,,,,,,,
689,bobato,noun,"leader, chief, royal council member",,,,,,,,,,,,,,,,,,,,"bobato saanang salapang \df the collection or alliance of the nine rulers of certain territories of the sultanate, bobato dunia/ \df councilors who deal with non-religious administrative matters, bobato ahera/t \df councilors who deal with religious matters"
690,bobeto,,,,,,,,,,,,,,,,,,,,,babobeto,
691,bobeto,intransitive verb,to perform ceremonies in order to expel or withstand evil  spirits or disease,,,,,,,,,,,,,,,,spiritual,,rorasa,,
692,bobodiku,noun,"the drawstring in trousers, etc.",,,,,,,,,,,,,,,,,,kandi-kandi,,
693,boboena,,,,,,,,,,,,,,,,,,,,bobuena,,
694,bobooca,noun,a subcutaneous swelling or tumor,,,,,,,,,,,,,,,,health,,,,
695,bobot,noun,mollusc,,,,,,,,,,,,,,,,,,,,"bobot kopo-kopo \df kind of mollusc, money cowrie, \sn Cypraea moneta, bobot baduri \df kind of mollusc, spiny woodcock, \sn Murex pecten, bobot bawang \df kind of mollusc, fig shells, \sn Ficidae spp, bobot bor \df kind of mollusc, distaff spindle, \sn Fusinus colis and New Holland spindle, \sn Fusinus novaehollandae, bobot bawi \df kind of mollusc, humpback cowrie, \sn Cypraea mauritania, bobot buso-buso \df kind of large mollusc, cone shell, \sn Conus  ,suitable for bangles, bobot udang \df kind of mollusc, incl. rock shells, such as toad purple, \sn Thais bufo and kind of abalone, varied ear shell, \sn Haliotis varia, bobot laki-laki \df kind of mollusc, olive shells, fam. Olividae, bobot burung \df kind of mollusc, conch shells, fam. Strombidae, bobot kakirap \df kind of mollusc, king scallop, \sn Pecten meridionalis, bobot susu \df kind of mollusc, kind of venus shell, the step-ladder dosinia, \sn Dosinia scalaris, bobot mutiara \df kind of mollusc, incl. large golden lip pearl oyster, \sn Pinctada maxima and black lip pearl oyster, \sn Pinctada margaritifera, bobot bangkalang \df kind of mollusc, frilled venus, \sn Callanaitis disjecta, bobot nyanya/ \df kind of mollusc, ornate olive, \sn Oliva lignaria, bobot pep \df kind of mollusc, elephant tusk, \sn Dentalium elephantinum, bobot popaco \df kind of mollusc, incl. virgin cone, \sn Conus virgo and tessellated cone, \sn Conus tessulatus, bobot taogi \df kind of  mollusc, incl. yellow mouthed drupe, \sn Drupina grossularia and gigantic frog shell <Bursa>, \sn Tutufa bubo, bobot tarumpak \df kind of mollusc, Australian trumpet, \sn Syrinx aruanus, bobot tiol nabalik \df kind of mollusc, scorpion spider conch, \sn Lambis scorpius, bobot totorang \df kind of mollusc,giant clam, \sn Tridacna gigas and possibly the giant murex, \sn Chicoreus ramosus, bobot tutuonang \df kind of mollusc, dwarf turban, \sn Turbo brunneus \crm  alabobo \crm  awa-awat \crm  buso-buso \crm  cege \crm  deri/s \crm  kakapis \crm  kalaka \crm  koroniong \crm  marumbung \crm  osa \crm  sasiang \crm  tambelo"
696,bobuena,intransitive verb,"last, most recent in a series of measured temporal units",udang bobuena,last month,,,,,,,,,,,,,,,,bubuena,,
697,bodito,noun,"mishap, misfortune, accident",,,,,,,,,,,,,,,,,,,,
698,bogogara,noun,"an incentive, an attraction, a decoy (said of an object left in place in order to attract",,,,,,,,,,,,,,,,,,,,
699,boki,noun,"princess, a title for a daughter of the sultan",,,,,,,,,,,,,,,,,,,,
700,boko-boko,noun,sago roasted in bamboo tubes,,,,,,,,,,,,,,,,sago,,,,
700,boko-boko,noun,sago roasted in bamboo tubes,,,,,,,,,,,,,,,,food,,,,
701,bokor,noun,"metallic wash basin, metallic plates",,,,,,,,,,,,,,,,utensil,,mok,boko-bokorang,
702,bokor,noun,"various kind of basins and platters, basins-full, by the basin",,,,,,,,,,,,,,,,utensil,,,,
703,bola,noun,marbles,,,,,,,,,,,,,,,,,,,,bola nawang \df door lock
704,bolio,intransitive verb,spoiled (of children),,,,,,,,,,,,,,,,,,,,
705,bolo,intransitive verb,to lie down,,,,,,,,,,,,,,,,,,,babolo,
706,bolo,intransitive verb,to lie down,,,,,,,,,,,,,,,,,,,babolo-bolo,
707,bolo,intransitive verb,to nap,,,,,,,,,,,,,,,,,,,nabolo-bolo,
708,bolo,intransitive verb,"to fall over, rolling repeatedly",,,,,,,,,,,,,,,,,,,,
709,boloaso,conjunction,"then, it follows that, however, but",Basáng kau mumau kaweng boloaso kau ada nang doit,"If you want to get married, then you must be there with money.",Aku yogo ka sana boloaso de tampa itu kurang majang.,I'd like to go there,"however, it's not very pleasant at that place.",,,,,,,,,,,,,,,
710,bolotur,noun,prop roots of the mangrove tree,,,,,,,,,,,,,,,,,,,,
711,bolung,particle,not yet,Ce' bolung kaweng.,What!  He's not married yet?,basaláng bolung baca duduk badiang-diang,If you have not yet begun to recite the,,,,,,,,,,,,,,,,
712,bolung,intransitive verb,to not yet,,,,,,,,,,,,,,,,,,,,
713,bose,intransitive verb,to paddle a boat,kudanga habár kamí yogo bose maóp e:,I heard a report that all of you want to,,,,,,,,,,,,,,,,,,"bose barikang \df to fish from a boat \ps  n \df paddle, bose baca:ng \df kind of short paddle with a broad blade, bose bako \df kind of long paddle with a narrow blade, bose rembat \df oar, kind of paddle with no topmost grip, bose tadore \df kind of paddle with a tapering blade \sf  boat \af bose akang \ps v \df to paddle for someone else \il  pasi mubose akang aku de indomít  They took me to Indomut by boat \af  babose \ps  vi \df to engage in paddling \il  deminyá basaláng kita tolu nang langker babose hakali barikang  How would it be if the three of us and this elder went paddling out to fish once? \sf  sailing"
714,bose-bose,noun,shoulder-blade,,,,,,,,,,,,,,,,body,,,,
715,bota-bota,,,,,,,,,,,,,,,,,,,,,,bota-bota gala ke mo \ps  excl \df expression of exasperation because someone is very tardy
716,botaing,,,,,,,,,,,,,,,,,,,,botangi,,
717,botang,noun,island,,,,,,,,,,,,,,,archaic,geography,,,,
718,botang,intransitive verb,"to stay, to be in place, to reside, to remain",Glas kosonga botang de meja buluta.,The empty glass put on the top of the table.,Langker masi botang indaya de lapetak sasaurang.,He still lives inland by himself in,Botang lima hari,There remain five days. There are five days remaining.,,,,,,,,,,,,,,
719,botang,verb,to leave s.t. behind,botang babago,It leaves behind burned out embers.,,,,,,,,,,,,,,,,,,"botang nyawa \df to be emotionally or physically attracted \af  botangi \ps  v \df to leave s.t. behind \df to place or put s.t. \il  Ma botangi glas de meja mo dadi napiak. She didn't put the glass on the table, so it shattered. \il  kulia kamí sodo botangi silóng ka ba: tu I think you should put a temporary shed over there \il  pasi mubotaing itu icampur nang kayu aolas (When) they put (the fire together), they mixed it with aolas wood. \af  botang akang \ps  v \df to leave s.t. behind for someone, to set s.t. aside for someone <set aside> \il  Mubotang akang aku nggaeka habua. Leave a banana for me. \df to bear s.t. in mind, to keep s.t. in mind \il  tabotang puang manusia banyak sabap cece mo idoá:kang kita nang kita  Let us keep the community foremost in our minds lest they lay a curse on us, among ourselves. \af  babotangang \ps  vi \df to leave e.o. behind \df to mutually break up \il  Babotangang kita nataur. Divided we are scattered."
720,botik,,,,,,,,,,,,,,,,,,,,,botik akang,
721,botik,transitive verb,"to force apart or tear s.t. (e.g., worn cloth, etc.)",,,,,,,,,,,,,,,,,,,nabotik,
722,botik,intransitive verb,"torn apart (of worn cloth), split apart (of partially healed wounds)",,,,,,,,,,,,,,,,,,,,
723,boto-boto,noun,"kind of small, green grasshopper, order Orthoptera",,,,,,,,,,,,,,,,insect,,balang,,
724,botol,noun,bottle,,,,,,,,,,,,,,,,utensil,,walu botol,,
725,botus,noun,watery discharge from the ear,,,,,,,,,,,,,,,,health,,,,
726,bu:,noun,kind of largefish trap of plaited rattan,,,,,,,,,,,,,,,,fishing,,,,
727,bua nona,noun,"kind of tree bearing edible fruit, the custard apple,",,,,,,,,,,,,,Annona squamosa,,,plant,,,,
728,bua yakis,noun,"kind of tree bearing edible fruit, the cashew,",,,,,,,,,,,,,Anacardium occidentale,,,plant,,,,
729,buai,verb,to invite someone (who happens by) to join in eating,ibuai kita ke mo tu,She didn't even ask us to join her (for lunch).,,,,,,,,,,,,,,,,togo/r,,
730,buang,verb,"to toss or to throw s.t., to throw or drop s.t. downward",Kau mubuang buáng ka bawa ka tamakang.,Toss the langsat fruits down so we can,kapal udara kapo mubuang bom,A plane arrived and dropped bombs,buang surat,to drop leaflets (from a plane),,,,,,,,,,,,,babuang,
731,buang,intransitive verb,"to be engaged in tossing away, to dispose",,,,,,,,,,,,,,,,,,,,babuang susa \df to sigh deeply \crm  buong
732,bua,noun,fruit,,,,,,,,,,,,,,,,,,,,
733,bua,numeral classifier,counter for various items,sabua lagu,a song,,,,,,,,,,,,,,,,,babua,
734,bua,intransitive verb,to bear fruit,manusia laina cengkena babua kasal,Other persons' clove trees bear fruit luxuriantly,,,,,,,,,,,,,,,,,babua-bua,
735,bua,intransitive verb,to bear fruit repeatedly (season after season),,,,,,,,,,,,,,,,,,,,
736,bua,,,,,,,,,,,,,,,,,,,,pabua,,
737,buat,,,,,,,,,,,,,,,,,,,,pabuat akang,,
738,buaya,noun,"kind of crocodilian, thecrocodile,",,,,,,,,,,,,,Crocodylus,,,animal,,,,
739,bubuena,conjunction,"straightaway, then",,,,,,,,,,,,,,,,,,"bena, mena, bobuena",,
740,bubuk,noun,"dust indicating insect infestation of wood or clothing, fragments",galampeang nang bubuka,smoked fish and pieces of it,,,,,,,,,,,,,,,,,babubuk,
741,bubuk,intransitive verb,"to have such dust, to be infested",,,,,,,,,,,,,,,,,,,,
742,bubulu,,,,,,,,,,,,,,,,,,,,bulu bulu,,
743,bubur,noun,kind of traditional savory cake made of rice flour,,,,,,,,,,,,,,,,,,,,
744,bubus,verb,"to remove s.t. (a plug, a bung) to create a channel for liquid, to drain in such a, to remove the eye of a boil or the scab of an infected wound, to lance a wound",,,,,,,,,,,,,,,,,,,bubusi,
745,bubus,verb,to remove s.t. (a plug) for someone,,,,,,,,,,,,,,,,,,,bubus akang,
746,bubus,verb,to remove s.t. (a plug) at someone's request,Bubus akang paisu bagajina de bak tu,Drain the dirty water in the basin,,,,,,,,,,,,,,,,,babubus,
747,bubus,intransitive verb,to be about the task of draining a wound or a basin,,,,,,,,,,,,,,,,,,,nabubus,
748,bubus,intransitive verb,to have drained (e.g. of a boil which has burst),,,,,,,,,,,,,,,,,,,,
749,bubím,intransitive verb,"to take a bath, to bathe",,,,,,,,,,,,,,,children's language,,,,,
750,bubíng,noun,box (of sago bark),,,,,,,,,,,,,,,archaic,,,,,
751,budi,noun,"generosity, kindness",,,,,,,,,,,,,,,,,,,babudi,
752,budi,intransitive verb,to be generous and understanding,,,,,,,,,,,,,,,,,,,,
753,bue-bue,noun,"kind of cradle, made by hanging a sarong from a rafter",,,,,,,,,,,,,,,,,,,,
754,buena,,,,,,,,,,,,,,,,,,,,bubuena,,
755,buf,ideophone,sound of a coconut falling,,,,,,,,,,,,,,,,,,,,
756,bugo,noun,"a small model house, usually used in hex-signs and magical rites",,,,,,,,,,,,,,,,,,uru,,
757,bui,noun,"jail, prison",,,,,,,,,,,,,,,,,,,,
758,buja-bujang,noun,male youths of marrying age,,,,,,,,,,,,,,,,,,nandolang,,
759,bujuk,verb,to persuade someone,ingkamai po ibujuk kita sigodo,She came over here and really coaxed us.,adaing tabujuk langker supaya ia bausi,Later we'll persuade him to come along.,,,,,,,,,,,,,,,bujuk akang,
760,bujuk,verb,to persuade someone at someone's request,,,,,,,,,,,,,,,,,,,babujukang,
761,bujuk,intransitive verb,to engage in persuading and coaxing in an intensive way,,,,,,,,,,,,,,,,,,sau,,
762,buka,transitive verb,"to open s.t., to unfasten or remove clothing",,,,,,,,,,,,,,,,,,"bilak, baku mata nabukana",,
763,buka,intransitive verb,to break o.'s fast,bakar rica untuk buka barenti makang,The bakar rica recipe is for eating after,,,,,,,,,,,,,,,,,bukai,
764,buka,transitive verb,to open s.t. for someone,Bukai aku nawang.,Open the door for me.,,,,,,,,,,,,,,,,,buka akang,
765,buka,transitive verb,to open s.t. at another's request,,,,,,,,,,,,,,,,,,,babuka,
766,buka,intransitive verb,"to be engaged in opening s.t., to eat at the meal concluding the fast during Ramadan, to break o.'s fast",,,,,,,,,,,,,,,,,,,nabuka,
767,buka,intransitive verb,to be unintentionally open,Nawang nabuka ianta.,The door is open over there.,,,,,,,,,,,,,,,,,,
768,bukan main,adverb,very,,,,,,,,,,,,,,,,,,,,
769,bukang,negation,not,bukang maksut,not the intention,,,,,,,,,,,,marker for nouns and propositions,,,,"kang, mo",,
770,bukang,particle,"right?, am I correct?",basaláng hapadua halangang hapadua mujagai bukang,If one-half are delayed (or,,,,,,,,,,,,a tag to secure the listener's agreement,,,,,,
771,bukit,noun,"hill, mountain, heap",,,,,,,,,,,,,,,,,,,,"bukit api \df volcano, bukit pokona \df base of a hill \sf  geography \af  babukit \ps  vi \df to be characterized by hills \df to form hills or heaps \il  lecak itu itambongi sigodo babukit He piled the soil up till it formed small hills."
772,buk,ideophone,sound of a punch,,,,,,,,,,,,,,,,,,,,
773,buk,noun,book,bukiku,my book,,,,,,,,,,,,,,,,,,
774,buku,noun,"node (of a branch), corner (of a room)",,,,,,,,,,,,,,,,,,,babuku,
775,buku,intransitive verb,to have a bump,,,,,,,,,,,,,,,,,,,buku-buku,
776,buku,noun,knee,,,,,,,,,,,,,,,,body,,,,
777,bukuraci,noun,"kind of tuna, the yellow fin tuna,",,,,,,,,,,,,,Neothunnus macropterus,,,fish,,,,
778,bulang,noun,month,,,,,,,,,,,,,,,,,Malay,"udang, nggaoti bulang",,
779,bulat,intransitive verb,round,,,,,,,,,,,,,,,,,,,bulat akang,
780,bulat,verb,to make s.t. round at someone's request,,,,,,,,,,,,,,,,,,,pabulati,
781,bulat,verb,"to shape s.t. into round objects, to round the sharp angles of s.t.",pasi mupabulati kayu itu yogo ipabua tiang bandera,They rounded the wood because,,,,,,,,,,,,,,,,,,
782,bulu-bulu,noun,body hair,,,,,,,,,,,,,,,,,,,,"bulu-bulu nyawa \df body hair \sf  body \df fur \df feather \df insect setae \af  babulu \ps  vi \df to be covered with fur, feathers, or body hair \af  bubulu \ps  n \df many feathers or hairs \sc  a term used by certain speakers \il  manuk bubuluna  chicken feather \crm  ulat babulu \crm  buok \crm  mata bulu-buluna"
783,bulus,,,,,,,,,,,,,,,,,,,,,bulus akang,
784,bulus,verb,to cause to sink,,,,,,,,,,,,,,,,,,,nabulus,
785,bulus,intransitive verb,to be sunk,,,,,,,,,,,,,,,,,,nggaeka bulus,,
786,bulut,noun,"top, summit, highest point",di meja buluta,on the top of the table,de masing buluta,on the surface of the sea (not the bottom),,,,,,,,,,,,,,,,
787,bum,ideophone,"the sound of a cannon, boom",,,,,,,,,,,,,,,,,,,,
788,bumi,,,,,,,,,,,,,,,,,,,,gumi,,
789,bunapé,,,,,,,,,,,,,,,,,,,,bagunape/,,
790,bundur,noun,"brush, incl. toothbrush, hairbrush and scrub brush",,,,,,,,,,,,,,,,utensil,,,babundur,
791,bundur,intransitive verb,to brush (o.'s teeth or body),,,,,,,,,,,,,,,,,,,,
792,bunu,verb,"to kill, to extinguish (a flame), to turn off (electricity)",,,,,,,,,,,,,,,,,,,bunui,
793,bunu,verb,to extinguish (a flame) or turn off s.t. so as to affect someone,kaná po kau mubunui aku padamara?,Why did you put out the lamp on me?,,,,,,,,,,,,,,,,,bunu akang,
794,bunu,verb,to extinguish s.t. (a flame) or turn s.t. off at someone's request,,,,,,,,,,,,,,,,,,,bunui akang,
795,bunu,verb,to affect someone (at someone's request) by extinguishing s.t. (a flame) or turning s.t. off,,,,,,,,,,,,,,,,,,,babunuang,
796,bunu,intransitive verb,"to be engaged in killing e.o., to fight e.o.",pauli dadi babunuang de itu de kayuang dalama,It could turn into violent discord there,,,,,,,,,,,,,,,,,,
797,bunga,,,,,,,,,,,,,,,,,,,,"petsawi babunga, kolouno bunga",,
798,bunga rampe,,,,,,,,,,,,,,,,,,,,duriang bunga rampe,,
799,bungang,noun,roof ridge,,,,,,,,,,,,,,,,,,house,,
800,bunging,noun,sandbar which rises above the water,,,,,,,,,,,,,,,,geography,,pasi,,
801,buok,noun,head hair,,,,,,,,,,,,,,,,body,,,,"buok didi: \df kind of hairstyle, a brush cut (only a few centimeters of hair standing upright), buok puti \df gray-haired \af  babuok \ps  vi \df to have hair (on o.'s head, e.g. of an infant) \df to have produced cornsilk, characteristic stage of the growth of corn \crm  bulu bulu"
802,buong,verb,to throw away,Sadangkang tabotangi uru ke pasi jagai mubantung mena mukemi: mena mubuong.,,topi habua ni bahaláng aku tala kubuong,"This hat, if it was me, I would have thrown it",,,,,,,,,,,,,,,buong akang,
803,buong,verb,"to throw s.t. away for someone, to dispose of s.t.",,,,,,,,,,,,,,,,,,,babuong,
804,buong,intransitive verb,"to jump from a height, esp. into water",,,,,,,,,,,,,,,,,,,babuongi,
805,buong,intransitive verb,to bake sago bread,,,,,,,,,,,,,,,,sago,,,,
805,buong,intransitive verb,to bake sago bread,,,,,,,,,,,,,,,,culinary,,,,
806,bura,noun,"bubble, foam",,,,,,,,,,,,,,,,,,,,
807,bura,verb,to spit on s.t. (for medical purposes),alengo pa umar mubura adiku poruta,A moment ago Mr. Umar treated my younger,,,,,,,,,,,,,,,,,burai,
808,bura,verb,to spit on s.t. (specific) to relieve a pain,,,,,,,,,,,,,,,,,,,babura,
809,bura,intransitive verb,to bubble up,,,,,,,,,,,,,,,,,,,,
810,burit,noun,"rump, buttocks",,,,,,,,,,,,,,,,body,,,,burit posuka \df anus \sf  body
811,buro-buro,noun,"kind of pandanus, the screw pine,",,,,,,,,,,,,,Pandanus,,,plant,,,,"buro-buro baduri \df kind of thorny seaside pandanus, \sn Pandanus tectorius \sf  plant"
812,buru,noun,"laborer, roustabout",,,,,,,,,,,,,,,,,,,baburu,
813,buru,intransitive verb,to work as a laborer or roustabout,,,,,,,,,,,,,,,,,,,,
814,burudel,noun,kind of pound cake,,,,,,,,,,,,,,,,food,,,,
815,buruk,intransitive verb,rotten,,,,,,,,,,,,,,,,,,"jat, nyawa buruk",,
816,burung,noun,"bird, in certain collocations",,,,,,,,,,,,,,,,bird,,,,"burung rekre/k \crm  rere/k, burung rica \df kind of bird \sf  bird, burung taung \df kind of bird, hornbill, fam. Bucerotidae \sf  bird \crm  kalo, burung tukang \df kind of bird, woodpecker, fam. Picidae \sf  bird"
817,burung,,,,,,,,,,,,,,,,,,,,,burungi,
818,burung,transitive verb,to consume s.t. (food) by putting into o.'s mouth a quantity of food rather too large,,,,,,,,,,,,,,,,,,burung,,
819,burung,,,,,,,,,,,,,,,,,,,,baburung,,
820,buso,noun,bangle,,,,,,,,,,,,,,,,,,"buso-buso, gala/ng",,
821,buso-buso,noun,"a mollusc, a cone shell, possibly",,,,,,,,,,,,,Conus consors,,,,,"buso, bobot buso buso",,
822,busuk,transitive verb,"to clean a fish, i.e., remove scales and bones, as a preliminary stage in preparing",,,,,,,,,,,,,,,,culinary,,poruti,busuki,
823,busuk,verb,to prepare fish in such a way for someone,,,,,,,,,,,,,,,,,,,busuki akang,
824,busuk,verb,"to prepare fish at someone's request, to prepare fish at someone's request",busuk akang aku lao lompa,Prepare some lompa fish for me,,,,,,,,,,,,,,,,,"busuk akang, babusuk",
825,busuk,intransitive verb,to engage in preparing fish,babusuk edat,to prepare fish for seviche,,,,,,,,,,,,,,,,,pabusukang,
826,busuk,noun,kind of sieve used in the early stages of sifting sago meal <sifter> to remove fibers.,,,,,,,,,,,,,,,,,,"pamusukang, lalasang, kusuk",,
827,busur,,,,,,,,,,,,,,,,,,,,,busuri,
828,busur,transitive verb,to crash into someone or s.t.,,,,,,,,,,,,,,,,,,,busur akang,
829,busur,verb,to crash or shove into s.t. or someone,,,,,,,,,,,,,,,,,,,babusurang,
830,busur,intransitive verb,"to run into e.o., to reach for the same platter of food at the same time",,,,,,,,,,,,,,,,,,,nabusur,
831,busur,intransitive verb,"to have bumped, to have crashed",,,,,,,,,,,,,,,,,,,,
832,buta,intransitive verb,"blind, vision-impaired",,,,,,,,,,,,,,,,,,"mambuta, ular buta",,
833,buta-buta,noun,"kind of seaside tree with highly toxic sap, which can cause blisters and lesions,",,,,,,,,,,,,,Excoecaria agallocha,,,plant,,,,
834,butik,noun,"skin rash, skin disease, small pox",,,,,,,,,,,,,,,archaic,health,,,,
835,butu,noun,penis,,,,,,,,,,,,,,,,body,,peler,,
836,butu cina,noun,kind of fish,,,,,,,,,,,,,,,,fish,,,,
837,buáng,noun,"kind of of fruit, langsat,",,,,,,,,,,,,,Lansium domesticum,,,plant,,,,bua/ng duku \df kind of langsat fruit \sf  plant
838,ca:,exclamation,Imagine!  Wow!,Ca: buk ini mubei aku.,Wow!  You've given me this book.,ca: itu basáng ompu mucatu jadi bo: rijiki,Imagine if the Lord granted that it be for our,,,,,,,,,,,,,,,,
839,ca,noun,"a culinary method for fish or vegetables, frying with soy sauce",,,,,,,,,,,,,,,,culinary,,,,
840,cabang,noun,branch of a tree,,,,,,,,,,,,,,,,,,"da:ng, jangkar",,
841,ca:-ca:,exclamation,"What!, exclamation of disapproval or disagreement",,,,,,,,,,,,,,,,,,,,
842,cacaberak,noun,"kind of horned toad, probably",,,,,,,,,,,,,Megophrys monticola,,,animal,,"cacak, berak",,
843,cacak,noun,"house lizard, gecko,",,,,,,,,,,,,,Hemidactylus frenatus,,,animal,,cacaberak,,
844,cacawi,noun,"kind of vegetable, Chinese cabbage,",,,,,,,,,,,,,Brassica rapa Pekinensis  Group,,,plant,,,,
845,cacawilu,noun,"kind of fish, a halfbeak, possibly the garfish,",,,,,,,,,,,,,Hyporhamphus ardelio,,,fish,,,,
846,cacebar,noun,mud,,,,,,,,,,,,,,,,,,,bacacebar,
847,cacebar,intransitive verb,muddy,,,,,,,,,,,,,,,,,,,,
848,caga,,,,,,,,,,,,,,,,,,,,raut caga,caga-caga,
849,caga,adverb,"in a panic, hurriedly under pressure",,,,,,,,,,,,,,,,,,,,
850,cai,verb,to look for lice in someone's hair,,,,,,,,,,,,,,,,,,,bacai,
851,cai,intransitive verb,to engage in looking for lice,,,,,,,,,,,,,,,,,,,bacaiang,
852,cai,intransitive verb,to look for lice in e. o.'s hair,,,,,,,,,,,,,,,,,,,bacabacaiang,
853,cai,intransitive verb,to look for lice in e.o.'s hair consecutively,,,,,,,,,,,,,,,,,,,pacai-cai,
854,cai,verb,"to look for s.t., to search for s.t.",,,,,,,,,,,,,,,,,,,,
855,cai-cai,noun,"kind of insect of the family Phasmidae, the stick insect or twig insect,",,,,,,,,,,,,,Datames,,,insect,,,,
856,cakabanga,noun,"kind of evil spirit which punishes a person for inadvertently treading on its dwelling,",,,,,,,,,,,,,,,,spiritual,,,,
857,cakal,verb,"to grasp firmly, to hold, to catch, to grasp the meaning of s.t., to understand s.t.",cakal kupu-kupu,catch butterflies,cakal bicarana,grasp her statement,,,,,,,,,,,,,,,cakali,
858,cakal,verb,"to put s.t. into someone's grasp, to press s.t. into someone's hand",alengo langker mucakali aku doit dua ribu,A few minutes ago he pressed 2000 rupiah,,,,,,,,,,,,,,,,,cakal akang,
859,cakal,verb,to grab or grasp someone or s.t. at someone's request (e.g. to catch someone's runaway chicken or,,,,,,,,,,,,,,,,,,,cakali akang,
860,cakal,verb,to cause someone to grasp s.t. by asking someone else to help,aku kucakali akang si Umar doi,I made sure that Umar was given money.,aku kucakali akang doit de si Alkani bo: si Umar,I arranged for Alkani to put money,,,,,,,,,,,,,,,bacakal,
861,cakal,intransitive verb,"to grasp someone's hands (e.g. to give a boost to another), to engage in catching or trapping miscreants, animals or truants, to usually hold some position or s.t.",pasi ka mai bo: bacakal nonók,They came here to catch macaques.,,,,,,,,,,,,,,,,,,"bacakal paguna:ng \df to hold a job, to be employed \af  bacakalang \ps  vi \df to hold together firmly \il  meja itu mupaku marosong-marosong ka ia bacakalang  Nail that table well so it will hold together., bacakalang tangang \df to shake hands \af  bacabacakalang \ps  vi \df to grasp e.o.'s hands \af pacakal akang \ps  v \df to bring together two pieces so that they meet in close contact (e.g. to lever a door so it fits in tightly with its frame) \df to join together close relatives (e.g. cousins) in marriage in order to strengthen family ties and to secure inheritance within the clan \il  Pasi yogo mupacakal akang aku nang sapupuku  They want to arrange for me to marry my cousin. \af  cacakala \ps  n \df handles, grip \crm  pamula:ng \crm  campak"
862,cakalang,,,,,,,,,,,,,,,,,,,,wowo,,
863,caku:,noun,kind of bird,,,,,,,,,,,,,,,,bird,,,,
864,calana,noun,trousers,,,,,,,,,,,,,,,,,,,,"calana bobodiku \df pants or shorts with a drawstring, calana pandak \df shorts, calana tinggi \df long trousers, pants \sf  clothing"
865,calepo,,,,,,,,,,,,,,,,,,,,,calepo akang,
866,calepo,verb,to seat someone (e.g. an infant) on the ground,,,,,,,,,,,,,,,,,,,bacalepo,
867,calepo,intransitive verb,to sit on the bare floor or ground without any covering,,,,,,,,,,,,,,,,,,"duduk, penyak",,
868,calumeme,noun,"kind of millipede, class Diplopoda",,,,,,,,,,,,,,,,insect,,"alilipang, alimamayang",,
869,camara,noun,false hair-piece,,,,,,,,,,,,,,,,,,,,
870,camara mo,noun,disturbance of the water surface where two currents meet,,,,,,,,,,,,,,,,,,,,
871,camat,noun,district head,,,,,,,,,,,,,,,,society,,,,
872,camba lait,,,,,,,,,,,,,,,,,,,,ngguming,,
873,cambaekat,noun,"kind of fish, a halfbeak, perhaps the black-barred garfish,",,,,,,,,,,,,,Hemiramphus far,,,fish,,,,
874,cambuk,noun,"crest or erect feathers characteristic of certain birds, antennae or feelers (of certain insects), barbels (of certain fish)",,,,,,,,,,,,,,,,,,,,
875,campak,noun,handle of the canoe paddle,,,,,,,,,,,,,,,,,,,,
876,campaka kubur,noun,"kind of tree with showy flowers, the frangipangi,",,,,,,,,,,,,,Plumeria,,,plant,,,,
877,camparíng,noun,"kind of small, black bird with a melodious morning song",,,,,,,,,,,,,,,,bird,,,,
878,campur,verb,to mix s.t.,campur baku nang paisu,mix sago flour with water,,,,,,,,,,,,,,,,,campuri,
879,campur,verb,"to mix s.t. for someone, to interfere in s.t.",campuri aku te hadiki,Mix me up a little tea,cece mucampuri halingku,Don't interfere in my affairs,,,,,,,,,,,,,,,campur akang,
880,campur,verb,to mix s.t. at someone's request,,,,,,,,,,,,,,,,,,,campuri akang,
881,campur,verb,to mix s.t. for someone at someone's request,,,,,,,,,,,,,,,,,,,bacampur,
882,campur,intransitive verb,"to be engaged in mixing, to process sago by mixing water and scraped sago pith and forcing it through a filter",tolu-tolu tu tala ka sana bacampur tala barenti,All three of them go there after they've,,,,,,,,,,,,,,,,,bacampurang,
883,campur,intransitive verb,"to mix with e.o., to become involved with e.o.",bararti ola-ola ini tala bacampurang ini nang fofoki alengo itu,That means the stewed,,,,,,,,,,,,,,,,,pacampur akang,
