0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
58,akang,conjunction,"however, nonetheless",a kita balapetak yogo ka da: bakaya akang kani: lapetak ni lambat,"So we garden and go inland to collect sago pith, nonetheless it is certain the garden will be late (for harvesting)",,,,,,,,,,,,,,,,,,
59,akar,noun,root,,,,,,,,,,,,,,,,,,,,"akar kuning \ps  n \df carrot, \sn Daucus carota \sf  food"
60,aku,pronoun,"I, me",aku yogo kutanyai kau habua hadiki,"I want to ask you about something, please.",haiku ini mubei aku doit tolu ratus ka mai,This guy gave me three hundred rupiah,,,,,,,,,,"first person singular, emphatic",informal,,,"iku,, ngku,, ku,, ku-, dangang",,
61,aku,,,,,,,,,,,,,,,,,,,,,akui,
62,aku,verb,to admit s.t.,kuakui laki-laki tu memang jagona,I admit that man surely has prowess,,,,,,,,,,,,,,,,mangaku,,
63,akí,noun,"storage battery, car battery",,,,,,,,,,,,,,,,,,batre/,,
64,ala,verb,"to take s.t., to assume s.t. as a starting point for calculations",nyawana ia ma bei ga tu muala jamingku,Whose heart let him take my watch? (Who,basaláng ala de tanggal kani: ahat tu sak,"If you start with the calendar, then it surely",,,,,,,,,,,,,,,,"ala paisu \df to be absorbent (said of sago bread) <sop> \il  baku ini ma ala paisu This sago bread sops up the sauce \crm  sika \af  ala akang \ps  v \df to take on behalf of someone \il  Muala akang aku tabako. Get some cigarettes for me. \af  baala \ps  vi \df to be engaged in taking <take> \il  Baala ga de ini. Take from here, too. \il  baala les to take dues, baala nyawa \df to curry favor (e.g. of o.'s boss) \af  baalala:ng \ps  vi \df to be intertwined, to be criss-crossed, to be tied up in a multitude of knots, etc. \il  Ada filinggir dua biji baalala:ng. There are two kites criss-crossed. \df to argue with each other \crm  sika"
65,ala:,exclamation,"Lord!, exclamation of surprise or disapproval",ala: tauli ka lau majang,Lord! We looked out towards the horizon and it was great!,,,,,,,,,,,,,,,,ya ala,,
66,ala-alang,,,,,,,,,,,,,,,,,,,,"alang-alang, manuk ala-alang",,
67,alabobo,noun,kind of small mollusc found in muddy riverbanks,,,,,,,,,,,,,,,,mollusc,,,,
68,alahumadafá,exclamation,"Good lord!, exclamation of surprise or shock",,,,,,,,,,,,,,,,,,,,
69,alalungang,noun,small waves,,,,,,,,,,,,,,,,,,alualungang,,
70,alam,noun,nature,,,,,,,,,,,,,,,,,,,,
71,alang-alang,noun,"kind of grass, alang-alang,",,,,,,,,,,,,,Imperata cylindrica,,,,,,,
72,alangang,noun,"inhibitory factor, problem",kami ini nang alangang po pauli mo balampo jau,We have a difficulty to deal with so,,,,,,,,,,,,,,,,,,
