no,headword,PoS,definition,example,translation,example.1,translation.1,example.2,translation.2,example.3,translation.3,example.4,translation.4,example.5,translation.5,scientific name,gram category,social context,semantic field,loanword,crm,af,id,Unnamed: 24,Unnamed: 25
1087,daung baru₂,noun,kind of tree,,,,,,,,,,,,,,,,plant,,,,,,FALSE
1088,daung gatal ambon,noun,kind of toxic-leafed plant,,,,,,,,,,,,,,,,plant,,,,,,FALSE
1089,daung tabal,noun,"kind of plant, perhaps the floss flower",,,,,,,,,,,,,Ageratum conyzoides,,,plant,,,,,,FALSE
1090,daung tumana,noun,"kind of insect, aphid, suborder Homoptera",,,,,,,,,,,,,,,,,,,,,,FALSE
1091,daung tumbu daung,noun,"kind of seaside cactus, prickly pear",,,,,,,,,,,,,Opuntia vulgaris,,,plant,,,,,,FALSE
1092,daya,locative,landward direction,ka daya,landward,,,,,,,,,,,,,,,,,,,,FALSE
1093,daya upaya,noun,capability,,,,,,,,,,,,,,,,,,,,,,FALSE
1094,dayango,noun,kind of insect emitting an unpleasant odor,,,,,,,,,,,,,,,,insect,,,,,,FALSE
1095,de,preposition,"of, from, at, on, in",kamí tuka de siá,Who did you buy it from?,duga-dugana kami umbuk ambulung de abdíl nang wahit,We will simply request,de ahat,on Sunday,itu de gambar alengo itu,That was it in the picture we just saw.,de manado,at Manado,,,,often used to mark human goals,,,,,,"de ini \df here \crm  di, de itu \df there, de mana \df where, de nyamo \df for example \df from",,FALSE
1096,debe,,,,,,,,,,,,,,,,,,,,babaca debe,,,,FALSE
1097,dede,noun,"a palace title indicating royal descent, an affectionate term of address and reference for the sultan's sons <prince>",,,,,,,,,,,,,,,,,,kacili,,,,FALSE
1098,dedego,,,,,,,,,,,,,,,,,,,,dego-dego,,,,FALSE
1099,dego-dego,noun,"kind of bench or sleeping platform, usually made of bamboo",,,,,,,,,,,,,,,,house,,"bale, katidurang",,,,FALSE
1100,dekat,intransitive verb,"nearby, proximate",,,,,,,,,,,,,,,,,Malay,,,,,FALSE
1101,dekea,intransitive verb,elder (of one's aunts and uncles),,,,,,,,,,,,,,,,,,"bapa dekea, ina dekea",,,,FALSE
1102,deker,noun,a cover placed over a gutter or ditch,,,,,,,,,,,,,,,,,,,,,,FALSE
1103,deket,intransitive verb,small,nusa deket,"a small island near nusa ra:, Big Island",andeket,youth,,,,,,,,,,,archaic,,,,,,,FALSE
1104,deminyá,pronoun,how,jadi deminyá nang kintalmu inycana tu,So how is it with your lot over there?,,,,,,,,,,,,,,,,,,"cara deminya/ \df how to, method to, deminya/ mo \df example \crm  de nyamo",,FALSE
1105,denda,noun,"legal fine, court penalty",,,,,,,,,,,,,,,,,,,,,,FALSE
1106,dendeng,noun,"dried, preserved meat <jerky>, usually venison",,,,,,,,,,,,,,,,,,,,,,FALSE
1107,depeng,,,,,,,,,,,,,,,,,,,,ndaeping,,,,FALSE
1108,des,conjunction,"so, therefore",,,,,,,,,,,,,,,,,,,,,,FALSE
1109,desa,,,,,,,,,,,,,,,,,,,,kapala desa,,,,FALSE
1110,desel₁,noun,boat-building adze,,,,,,,,,,,,,,,,,,,,,,FALSE
1111,desel₂,verb,"to hew or smooth something (wood) with an adze, to dress something (wood)",kita tadesel barenti mena iskaf,After we have dressed (the wood) then they can plane it.,,,,,,,,,,,,,,tool,,,,,,FALSE
1112,di:,,,,,,,,,,,,,,,,,,,,didi:,,,,FALSE
1113,di,preposition,at,di luar,outside,di mana,where,,,,,,,,,,,,,,de,,,,FALSE
1114,di antaranya,conjunction,including,musu di antaranya amerika,"enemies, including America",,,,,,,,,,,,,,,,,,,,FALSE
1115,diakang,,,,,,,,,,,,,,,,,,,,didi: akang,,,,FALSE
1117,diang₁,intransitive verb,to be quiet,,,,,,,,,,,,,,,,,,,badiang-diang,,,FALSE
1118,diang₂,intransitive verb,to be absolutely quiet <silent>,basaláng bolung baca duduk badiang-diang,"If you haven't begun to recite, just sit",,,,,,,,,,,,,,,,,babadiang,,,FALSE
1119,diang₃,intransitive verb,"to be discreet, to be stealthy",,,,,,,,,,,,,,,,,,,padiangi,,,FALSE
1120,diang₄,verb,to coax or persuade someone to be quiet,,,,,,,,,,,,,,,,,,,padiang akang,,,FALSE
1121,diang₅,verb,"to make something quiet, e.g. to reduce the volume of a radio",,,,,,,,,,,,,,,,,,,,,,FALSE
1122,dibo-dibo₁,noun,"wholesaler, someone who buys a whole crop or catch and controls the market",,,,,,,,,,,,,,,,,,,badibo-dibo,,,FALSE
1123,dibo-dibo₂,intransitive verb,to engage in such commercial activities,,,,,,,,,,,,,,,,,,,,,,FALSE
1124,dodak₁,noun,chest (of the body),,,,,,,,,,,,,,,,,,,,,,FALSE
1125,dodak₂,noun,"front, ahead, forthcoming, previous, earlier in a series",nusa ra: dodaka,in the front of Nusa Ra:,saptí de dodak,next Saturday,alap-alap di dodak,The guests (summoned) earlier,,,,,,,,,,,,manda/,badobadodakang,,,FALSE
1126,dodak₃,intransitive verb,"to be facing someone <face>, to be opposite someone (e.g. on the same street)",,,,,,,,,,,,,,,,,,,,,,FALSE
1127,dodato mo,intransitive verb,to have a fear that something would or would not occur or be acceptable,ku dodato mo kamu: mumakang mo,I feared lest you would not eat (it),,,,,,,,,,,,,,,,,,,,FALSE
1128,dodoku,noun,bridge,,,,,,,,,,,,,,,,,,panitiang,,,,FALSE
1129,dodol,noun,kind of durian sweetmeat,,,,,,,,,,,,,,,,food,,,,"dodol koko \df kind of cassava sweetmeat, similar to taffy",,FALSE
1130,dodomi,noun,placenta,,,,,,,,,,,,,,,,,,,,"dodomi sagale gale \df be of one blood line, be united by blood \sf  body",,FALSE
1131,dofola,noun,"kind of insect, the bedbug",,,,,,,,,,,,,Cimicidae,,,insect,,,,,,FALSE
1132,dohor,noun,the time for the Islamic prayer ritual at noontime,,,,,,,,,,,,,,,,spiritual,,,,,,FALSE
1133,doit,noun,money,,,,,,,,,,,,,,,,,,,,"doit salawat \df money contributed to the mosque <contribution> during the recital of the laudation of the Prophet on certain Islamic holy days \crm  salawat, doit tataura \df coin (i.e. money for scattering) \crm  taur",,FALSE
1134,dok,noun,dock,,,,,,,,,,,,,,,,,,,,,,FALSE
1135,doko₁,intransitive verb,greedy,,,,,,,,,,,,,,,,,,,badoko,,,FALSE
1136,doko₂,intransitive verb,"to be covetous, to gaze longingly (but not express one's desire)",,,,,,,,,,,,,,,,,,,,,,FALSE
1137,dola₁,intransitive verb,"to block someone's path of escape by predicting the direction, to cut someone off <cut off>",,,,,,,,,,,,,,,,,,,dola akang,,,FALSE
1138,dola₂,verb,to block someone at someone's request,,,,,,,,,,,,,,,,,,,badola,,,FALSE
1139,dola₃,intransitive verb,"to engage in blocking, to buy goods for resale by arriving at the market early, to corner the market in such",badola manyjangang,to corner a deer,,,,,,,,,,,,,,,,,,,,FALSE
1140,dolong₁,intransitive verb,deep,,,,,,,,,,,,,,,,,,lumpa-lumpat dolong,padolongi,,,FALSE
1141,dolong₂,verb,to deepen something (e.g. a well or a foundation),,,,,,,,,,,,,,,,,,,,,,FALSE
1142,dolosi,noun,kind of small multicoloredfish,,,,,,,,,,,,,,,,fish,,,,"dolosi papang \df kind of fish, the southern fusilier, \sn Caesio xanthurus \sf  fish, dolosi iba \df kind of fish, the black-tipped fusilier, \sn Caesio chrysozonus \sf  fish, dolosi magiau \df kind of small pink fish \sf  fish",,FALSE
1143,domplet,noun,"wallet, change purse",,,,,,,,,,,,,,,,,,,,,,FALSE
1144,donga-donga,noun,ankle bone (which protrudes),,,,,,,,,,,,,,,,body,,,,,,FALSE
1145,dongkrat₁,,,,,,,,,,,,,,,,,,,Indonesian,,,,,FALSE
1146,dongkrat₂,verb,to lever something up (e.g. a boat),,,,,,,,,,,,,,,,,,,,,,FALSE
1147,donyci₁,intransitive verb,"whining, fussy (of children)",,,,,,,,,,,,,,,,,,,badonyci,,,FALSE
1148,donyci₂,intransitive verb,to be characterized by whining <whine>,,,,,,,,,,,,,,,,,,,,,,FALSE
1149,dop,noun,infant's pacifier,,,,,,,,,,,,,,,,,,pep,,,,FALSE
1150,dosa,,,,,,,,,,,,,,,,,,,,bardosa,,,,FALSE
1151,dosi-dosi,noun,"box, esp. cardboard box",,,,,,,,,,,,,,,,,,,,,,FALSE
1152,doti₁,noun,black magic,,,,,,,,,,,,,,,,,,,,,,FALSE
1153,doti₂,verb,to attack and negatively affect someone with black magic,nyawaku mantak po kudoti ia ni ke,I feel offended so I'll use some black magic on him,,,,,,,,,,,,,,,,,badoti,,,FALSE
1154,doti₃,intransitive verb,to practice black magic and to use spells and poisons,,,,,,,,,,,,,,,,,Malay,guna-guna,,,,FALSE
1155,doá₁,,,,,,,,,,,,,,,,,,,,,doákang,,,FALSE
1156,doá₂,verb,to curse someone,cece mo idoákang kita,Let it not happen that they curse us.,,,,,,,,,,,,,,,,,badoá,,,FALSE
1157,doá₃,intransitive verb,to curse,,,,,,,,,,,,,,,,,,,badoákang,,,FALSE
1158,doá₄,intransitive verb,to be engaged in cursing someone <curse>,,,,,,,,,,,,,,,,,,sasi,,,,FALSE
1159,du,exclamation,"oh, an expression of disappointment or disapproval",,,,,,,,,,,,,,,,,,,,,,FALSE
1160,dua₁,numeral,two,dua pulu,twenty,,,,,,,,,,,,,,,,,badua-dua,,,FALSE
1161,dua₂,verb,"to be in a set of two, to form a pair",pasi balampo badua-dua,They walked off in pairs.,,,,,,,,,,,,,,,,"apadua, sapadua, kadua",,,,FALSE
1162,dualapang,numeral,eight,,,,,,,,,,,,,,,,,,,,,,FALSE
1163,dudugana,,,,,,,,,,,,,,,,,,,,duga,,,,FALSE
1164,duduk₁,intransitive verb,"to sit, to reside (at some place), to occupy",ia itu duduk mo de amasing kota ke di mandawóng,He doesn't live in Amasing Kota,,,,,,,,,,,,,,,,,duduki,,,FALSE
1165,duduk₂,verb,to sit on someone or something,Ia itu mududuki taina manuk,He sat on chicken droppings,,,,,,,,,,,,,,,,,duduk akang,,,FALSE
1166,duduk₃,verb,"to assist someone to sit at someone's request, to put something in place",,,,,,,,,,,,,,,,,,,badudukang,,,FALSE
1167,duduk₄,intransitive verb,to sit around in large numbers (e.g. at a meeting),,,,,,,,,,,,,,,,,,,badubadudukang,,,FALSE
1168,duduk₅,intransitive verb,to sit on someone (of many persons in play or in a crowded vehicle),,,,,,,,,,,,,,,,,,,paduduk akang,,,FALSE
1169,duduk₆,verb,"to use something as a seat (i.e. something not usually for sitting on, e.g. a table), to let something stand, to put something in a stable position (e.g. a container of water so the dregs, to put something in its appropriate place",paduduk akang paisu itu ga aming,Put the water on to the hearth (so it will boil),,,,,,,,,,,,,,,,,pandudukang,,,FALSE
1170,duduk₇,noun,"sitting place, esp. the elaborate public benches often found on corners in Labuha",,,,,,,,,,,,,,,,,,,kadudukang,,,FALSE
1171,duduk₈,noun,"a place to sit, a seat, situation, social setting, a place",kadudukangku nagawar-gawar,My seat wobbles,kadudukang ini jat,This situation (e.g. in a known sorcerer's company) is unfavorable,dupa-dupa kadudukanga,"a place for incense, a censer",inda: tu haiwan kadudukanga,Inland in the forest it's animal territory (i.e. too many,,,,,,,,,,,,,,FALSE
1172,duga,verb,"to assume, to guess, to suppose",,,,,,,,,,,,,,,,,,sangka,,,,FALSE
1173,dugana₁,conjunction,"only to the extent, however, in so far as","dugana kamí tama itu, ingat-ingat paguna:ng ari saptu","However, as you start that,",,,,,,,,,,,,,,,,,,,,FALSE
1174,dugana₂,particle,only and insufficient,Doitku dugana hadiki,There's only a small amount of my money (left),,,,,,,,,,,,,,,,,duga-duga,,,FALSE
1175,dugana₃,particle,only,durian duga-duga ke habua po yogo iumbuk dang,There was just one durian yet he still,,,,,,,,,,,,,,,,,duga-dugana,,,FALSE
1176,dugana₄,particle,only,pondo duga-dugana habua mena narebus dang,"There was only one shirt, then it ripped",,,,,,,,,,,,,,,,,dudugana,,,FALSE
1177,dugana₅,particle,only,,,,,,,,,,,,,,,,,,,,,,FALSE
1178,duka₁,noun,sorrow,,,,,,,,,,,,,,,,,,,baduka,,,FALSE
1179,duka₂,intransitive verb,to be in mourning,,,,,,,,,,,,,,,,,,,,,,FALSE
1180,duku,,,,,,,,,,,,,,,,,,,,langsat duku,,,,FALSE
1181,dumik₁,intransitive verb,completed,papang inycana itu tala dumik,The boards over there are finished.,,,,,,,,,,,,,,,,,dumik akang,,,FALSE
1182,dumik₂,verb,to complete something at another's request,musi ka da: ga dumik akang jojaga itu puong,You must go inland too to finish that hut first.,,,,,,,,,,,,,,,,,padumiki,,,FALSE
1183,dumik₃,verb,to finish off something,Kau tala mupadumiki lao de kas.,You have finished off the fish in the cupboard.,,,,,,,,,,,,,,,,,padumik akang,,,FALSE
1184,dumik₄,verb,to complete something thoroughly,adaing padumik akang paguna:ng tu,Later we will complete that task.,,,,,,,,,,,,,,,,,dumi-dumik,,,FALSE
1185,dumik₅,intransitive verb,all,,,,,,,,,,,,,,,,,,,,,,FALSE
1186,dumik₆,adverb,completely,,,,,,,,,,,,,,,,,,,,,,FALSE
1187,dumpul,noun,boat caulking,,,,,,,,,,,,,,,,boat,,,,,,FALSE
1188,duniá,noun,"world, the transitory world, the place of the mundane",,,,,,,,,,,,,,,,,,"bobato dunia/, ahera/t",,,,FALSE
1189,dungkul₁,,,,,,,,,,,,,,,,,,,,,dungkul akang,,,FALSE
1190,dungkul₂,transitive verb,to cause something (esp. another's foot) to ram something,,,,,,,,,,,,,,,,,,,nadungkul,,,FALSE
1191,dungkul₃,intransitive verb,stubbed (of the toe),,,,,,,,,,,,,,,,,,,,,,FALSE
1192,duong,,,,,,,,,,,,,,,,,,,,lao,,,,FALSE
1193,dupa,noun,tapers of fragrant wood used as incense,,,,,,,,,,,,,,,,,,,,,,FALSE
1194,duri₁,noun,thorn,,,,,,,,,,,,,,,,,,ambulung duri puti,baduri,,,FALSE
1195,duri₂,intransitive verb,"to be covered with thorns, prickly, thorny",buro-buro baduri,a kind of pandanus with many thorns,,,,,,,,,,,,,,,,"bayang baduri, aur baduri",baduri-duri,,,FALSE
1196,duri₃,intransitive verb,"to be covered with thorns or spines, prickly",,,,,,,,,,,,,,,,,,,,,,FALSE
1197,duri babi,noun,"kind of black, long-spined sea urchin",,,,,,,,,,,,,Diadema setosum,,,sea creature,,tayong,,,,FALSE
1198,duriang,noun,"kind of fruit, the durian, [Durio zibethinus",,,,,,,,,,,,,,,,plant,,,,"duriang cacak \df kind of small durian, duriang bunga rampe \df kind of small durian, duriang pairuk \df kind of dark, round, large durian, duriang mawe \df kind of small durian, duriang panglu/ \df kind of durian with easily visible sutures, duriang biji mati \df kind of durian with small flat seeds, duriang atombo/m \df kind of very large somewhat oval-shaped durian, duriang gora \df kind of durian shaped like a water apple, duriang roket \df kind of elongated durian, duriang mata-mata lompa \df a very early stage in the ripening process of a durian, duriang pusu \df kind of tear-shaped durian, duriang pala \df kind of round durian, duriang mantega \df kind of durian with very yellow contents, duriang payung \df kind of durian, duriang bapalumbang \df a late stage in the ripening stage of a durian, watery,odorless, tasteless but edible, duriang ambulung \df kind of durian found near sago, duriang tewa-tewa \df kind of durian",,FALSE
1199,e:,particle,"er, uh",pasawat e: kapal udara,"plane, I mean, airplane",,,,,,,,,,,,hesitation word,,,,,,e: ole i: \df oh yes (I almost forgot),,FALSE
